name,cast_position,count
Patricia Mauceri,13,1
David Gant,12,1
Jim Toney,56,1
David Pasquesi,20,1
Peter White,22,1
Colleen Dewhurst,6,1
Brigitte Auber,6,1
Felix Silla,35,1
Rachael Coopes,3,1
Peter Syvertsen,28,1
Sheila Agee,4,1
Kari Coleman,24,1
Jean-Luc Godard,1,1
Joe Savino,11,1
Juliet Landau,10,1
Lisa Arrindell Anderson,8,1
Jad Mager,55,1
Vinny Argiro,16,1
Lan Fendors,22,1
William H. Macy,2,1
John Doucette,7,1
David Barry Gray,12,1
Trevor Goddard,9,1
Wittni Wright,43,1
Joe Swash,37,1
Art Clokey,1,1
Tor Borong,11,1
Rick Barker,32,1
Juan Cejas,29,1
Richard Reeves,14,1
Kate McNeil,23,1
Marilyn Meyers,7,1
Moira Kelly,4,1
Tom Marshall,8,1
Carmen,5,1
Raymond Wong,25,1
Lori Tan Chinn,11,1
Roger Corman,42,1
Michael Beach,3,1
Ernie Wilkins,14,1
Thomas Haden Church,19,1
Jean Speegle Howard,7,1
Cheryl Wilson,13,1
Eddie Tagoe,13,1
Andrea Powell,1,1
Crissy Rock,1,1
Joe Black,21,1
Paul McVey,7,1
Sylvia Kauders,19,1
Armand Kaliz,20,1
Roger Corman,53,1
Hayden Rorke,28,1
W.J. O'Brien,19,1
Sal Lopez,25,1
John Henry Redwood,53,1
Matthew Porretta,41,1
Bruce Dern,13,1
Joanna Roth,5,1
Al Harrington,38,1
Tamsin Kelsey,9,1
Gregory Paul Jackson,20,1
George Marshall Ruge,33,1
Charles Bouillaud,21,1
Danilo 'Bata' Stojkovic,13,1
Fred Graham,19,1
Charles Ferrara,14,1
Amanda Plummer,1,1
Peter Spellos,8,1
Dean Lockwood,8,1
Tiffany Brissette,1,1
Lauren Roselli,35,1
Neil Innes,16,1
Maurice Chevalier,12,1
Tomoko Fujita,13,1
Angel Caban,9,1
Linda Hamilton,4,1
Dick Wessel,32,1
Joseph D'Onofrio,14,1
Mark Whelehan,30,1
Fiona,35,1
Takeshi Kaneshiro,4,1
Roberta Maxwell,18,1
James Caan,39,1
Red Buttons,10,1
Mickey Cottrell,21,1
Mark Elwes,13,1
Edward Power,22,1
Jesus Fuentes,12,1
Victor Mikhailov,14,1
Frank Yaconelli,39,1
Peg Hillias,7,1
Johnny Seven,10,1
Stacy Linn Ramsower,18,1
Wayne Lam,21,1
Dominic Chianese,7,1
Natalie Portman,8,1
Claude Stroud,13,1
Todd Boyce,9,1
Joe Baker,14,1
Jonathan Scott,37,1
Dominique Horwitz,1,1
Dominique Besnehard,5,1
Lin Shaye,20,1
Richard Gere,13,1
Lloyd Dunn,1,1
Bob Balaban,20,1
Dale Winton,27,1
Sandy Ward,38,1
Blake Bashoff,16,1
Rob Reiner,11,1
Gloria Clokey,2,1
Martin Murphy,22,1
Donald Moffat,13,1
Michael Shamus Wiles,37,1
Max Goldblatt,12,1
Molly Haskell,1,1
Marshall Bell,10,1
Michele Pawk,19,1
Norma McCarty,14,1
Juan Jimenez,22,1
Ronan Wilmot,41,1
Joyce Rover,151,1
Rami Heuberger,46,1
Gwyneth Paltrow,20,1
Liz Anne Curtis,38,1
Len Cariou,11,1
Niven Boyd,9,1
Pamela Gidley,24,1
Pamela Tyson,7,1
Robert S. Carson,33,1
Bob Dini,32,1
Ewan Stewart,9,1
Debbie Falconer,33,1
Tyler Brooke,8,1
Eva La Rue,23,1
La Chanze,1,1
Naturi Naughton,6,1
Frederick Sullivan,19,1
Ernst Jacobi,10,1
Charlie Yeung,9,1
Katrine Boorman,5,1
Tim Barlow,15,1
Karl Platen,14,1
Linda Hart,12,1
Valerie Wildman,26,1
Rhoda Griffis,8,1
Anne Archer,6,1
Peter Cellier,12,1
Lonnie R. Smith,38,1
Patrick Ewing,4,1
Gretchen Egolf,51,1
David Markham,44,1
Celia Imrie,28,1
Lou Jacobi,4,1
Lynda  Wiesmeier,36,1
Albert Welling,11,1
Edward Hearn,59,1
Frank Shelley,29,1
Rusty Wicker,43,1
Michael Runyard,33,1
Saafir,30,1
Justin Humphrey,25,1
Ronald Von Klaussen,50,1
Dora Luz,3,1
Jean-Claude Perrin,23,1
Jaakko Talaskivi,26,1
Yvonne Gamy,11,1
Joe Stevens,13,1
Rosalie Varda,14,1
Dave Salerno,24,1
Bill Dow,22,1
Minnie Lindsay,28,1
Paula Laurence,1,1
Sparkle,38,1
Birge Schade,20,1
Charles D. Brown,11,1
Robert Hardy,9,1
Britta Smith,23,1
Judith Baldwin,25,1
Heribert Sasse,4,1
Alaina Mobley,36,1
Michèle Bernier,9,1
Christine Louise Berry,26,1
Murphy Guyer,33,1
Mathilda May,2,1
Don Bridges,12,1
Imelda Staunton,13,1
Jodie Wilson,13,1
Edward Furlong,30,1
Austin Hay,24,1
Patricia Dunnock,7,1
Howard Feuer,10,1
Alan Clement,44,1
Lara Cody,5,1
Kenneth Tigar,19,1
Anne Lonnberg,26,1
Trace Beaulieu,2,1
Ulf Johansson,15,1
Rose Lam Waddell,13,1
Billy Gilbert,6,1
Tim Choate,7,1
Philadelphia Symphony Orc...,3,1
Jack Grinnage,15,1
Chris J. Condon,34,1
Charlie Brewer,20,1
Bill Garrison,1,1
Princess Lilamani,20,1
Jack Mower,83,1
Ron Nyswaner,17,1
Stella Kietel,77,1
Ana Ortiz,1,1
Beverley Mitchell,13,1
Clint Ritchie,23,1
Judson Vaughn,33,1
David Calderisi,9,1
Randy Hall,15,1
Ray McKinnon,9,1
Carlos Lara,82,1
Llewellyn Rees,12,1
Kasi Lemmons,8,1
John Rhys Davies,19,1
Michael Maloney,1,1
Jacqueline Woolsey,42,1
Gerard G. Williams,46,1
F. Yurma,6,1
Frank Faylen,8,1
Rusty Stevens,10,1
Michael Ray,11,1
Kaili Carlton,30,1
Joey Ancona,8,1
Don Stark,6,1
Adel Kovats,18,1
Dewey Weber,17,1
Virginia Farmer,34,1
Julian Wadham,20,1
Zoaunne Le Roy,20,1
Ian Weighill,23,1
Jay Kogen,13,1
Heinz Emigholz,9,1
Dan Castellaneta,23,1
Catherine Chevallier,13,1
Jeffrey Combs,4,1
Hal Ketchum,46,1
Kim Sykes,20,1
Dennis Fimple,9,1
Matthew Michael Mahaney,57,1
Casey King,15,1
Tom Proctor,8,1
David de Vries,15,1
Tere Livrano,52,1
Susan Lee Hoffman,20,1
Peter Mamakos,22,1
Tanya Pohlkotte,11,1
Lloyd Nelson,54,1
Vic Ho,24,1
Karen Allen,22,1
Matthew Grace,11,1
Katie Schlossberg,22,1
Rodolphe Vega,9,1
Greg McKinney,12,1
Pat Collins,61,1
Vivian Pickles,3,1
Sean Whalen,15,1
Gail Strickland,17,1
Charles Napier,19,1
Stephane Slima,5,1
Isabel Jeans,6,1
Tim Artz,31,1
Maurice Blake,12,1
Hugh Vaughn,12,1
Pat McNamara,51,1
John Raaen,10,1
Yves Degen,33,1
Dorothy Fay,22,1
Jeff Morris,15,1
Tala Birell,11,1
Aretha Mitchell,12,1
Jessica Tuck,26,1
Anne Meara,8,1
Margery Mason,17,1
John Costello,25,1
Steven G. Tyler,60,1
Nick Dennis,6,1
Gerald Mohr,15,1
Tian Shaojun,3,1
Rod Masterson,15,1
Jim Ochs,18,1
Gil Warren,14,1
Richard Irving,13,1
Hal Smith,20,1
Eun-jin Bang,3,1
Mathilda May,6,1
Raymond Forestier,17,1
Clarence Nash,5,1
David Gulpilil,36,1
Christof Wackernagel,9,1
John Neville Rufus Altman,46,1
John-Eliot Jordan,49,1
Gianna Segale,28,1
Ross Bagley,28,1
Carole Shelley,23,1
Florence Stephens,53,1
Paul Alexander,17,1
Caroline Yeager,19,1
Tom Kagy,34,1
David Bauer,12,1
Vikram Shah,11,1
Zette Sullivan,9,1
David McMahon,25,1
Reno,38,1
Bob Gunton,12,1
François Levantal,4,1
Vanna Bonta,14,1
Terry Kinney,4,1
Devon Sawa,23,1
Chad Dowdell,41,1
Samantha Morton,11,1
Julie Mauduech,1,1
Llewellyn Rees,24,1
Ashleigh Aston Moore,4,1
Belle Mitchell,22,1
David Villalpando,10,1
Yuriko Fuchizaki,9,1
Mitch Pileggi,25,1
Peter Cicale,39,1
Emma Davidtz,13,1
Howard Negley,61,1
Dartanyan Edmonds,16,1
Willard Scott,16,1
Alice Gruenberg,41,1
Blanca Guerra,35,1
Angelo Santiago,1,1
Colin Mayes,18,1
James O'Hagen,21,1
Veronica Radburn,46,1
Jerry Hausner,12,1
Saverio Guerra,1,1
Danièle Lebrun,6,1
Kevin Tighe,5,1
Carl Weintraub,11,1
Julie Ho,43,1
Sharon M. Lewis,8,1
Charles Farrington,3,1
Kasi Lemmons,14,1
Madeleine Lierck,49,1
Tom Harkin,18,1
David Fresco,18,1
Philip Williams,18,1
Carlos Rodríguez,19,1
Ralph Brooks,12,1
Robert LaSardo,33,1
Vladimir Sokoloff,6,1
Frank Natiello,56,1
Jack Rader,28,1
Frank Aquilino,12,1
Victor Cutler,20,1
Hope Lange,14,1
Robert Lynn,37,1
Kuei-Mei Yang,1,1
Phil Lewis,18,1
Diane Du Bois,27,1
Girocco Dunlap,19,1
Scott Thompson,7,1
Ray Hassett,37,1
Jane Jenkins,21,1
Joel Angelino,7,1
G.D. Spradlin,9,1
Albert D'Arno,44,1
Jorge de Juan,14,1
Daniel McDonald,26,1
Charles Parks,22,1
Gerry Day,19,1
Pamela Garmon,29,1
Rob Paulsen,5,1
Amy Ryder,16,1
Shaquille O'Neal,1,1
Barry Crocker,30,1
Kelly M. Casey,31,1
Olivier Hemon,9,1
Amy Parrish,15,1
Bob Keeshan,9,1
Bernard Horsfall,14,1
Rupert Frazer,32,1
Lianna Pal,33,1
Andy Rashleigh,8,1
Buda Gulyas,9,1
Melinda Dillon,12,1
Kelly Preston,8,1
Garvin Cross,8,1
Verrone Romeoletti,1,1
Rachel Dowling,18,1
Heather Lee Gerdes,13,1
Manning Redwood,15,1
Phyllis Yvonne Stickney,19,1
Veronica Wells,7,1
James Piddock,17,1
Mel Novak,33,1
Phil Headly,42,1
Tommy Farrell,28,1
Ned Glass,12,1
Nancy Yee,25,1
Morganna,139,1
Don Hewitt Sr.,46,1
Max Hoffman Jr.,60,1
Arabella Field,12,1
Christina Grosse,35,1
Misa Koprova,73,1
Gian-Carlo Scandiuzzi,9,1
Jenny Egan,16,1
Peter Spellos,18,1
Tucker Stone,31,1
Dave Duffy,8,1
Benjamin Mouton,19,1
Matyelok Gibbs,17,1
Anthony Hargraves,10,1
Natalie Wilson,52,1
Elizabeth Margoni,24,1
Janet Hirshenson,22,1
Joey Lauren Adams,25,1
Chris Olson,17,1
Selmar Jackson,63,1
Betsy Clark,5,1
Agustin Rodriguez,24,1
Cheryl Smith,22,1
Tiny Jones,20,1
Joan Staley,18,1
Steven Kampmann,16,1
Simone von Zglinicki,24,1
O'Neal Compton,20,1
Susana Cortinez,7,1
William McNamara,4,1
Eric Alden,8,1
David O'Hara,25,1
Juliet Taylor,22,1
Lynne Deragon,12,1
Willie Fung,23,1
Harold Gould,14,1
Clara Blandick,4,1
Cecil Kellaway,6,1
Mark Bringelson,5,1
Scott Williams,31,1
Kumall Grewal,20,1
James Walker,14,1
Shirley Broderick,19,1
Paul Winchell,20,1
Andi Chapman,39,1
Onslow Stevens,4,1
Henry Rowland,27,1
Tony Griffin,23,1
Michael Bilton,32,1
Patricia Healy,27,1
Elida Janushi,5,1
Adam Nelson,22,1
Bobby Deol,1,1
Walter Rode,50,1
Jeffrey J. Stephan,17,1
John Azevedo Jr.,32,1
Geneviève Pasquier,1,1
Larry Storch,9,1
Mike Benitez,25,1
Anita Zagaria,17,1
Lynne Thigpen,44,1
Mathias Franz Stein,9,1
Mike Simmrin,17,1
Marc Gowan,21,1
Nina Shock,29,1
Donna McReady,32,1
Danny Xtravaganza,3,1
Aidan Kelly,52,1
Helen Hanft,34,1
Lillian Dube,21,1
Abdullah Abbas,33,1
Duane Martin,5,1
Patrick McGaw,4,1
Eduardo Ciannelli,55,1
Brigette Wilson,28,1
Hank Smith,4,1
Scott A. Marshall,50,1
Shauntisa Willis,10,1
Jimmy Flanders,19,1
Yuki Kudoh,7,1
Bethany Joy Galeotti,13,1
Casey Siemaszko,16,1
Kenny Baker,13,1
Blues Traveler,60,1
Joan Barton,1,1
Marilu Carteny,16,1
Tommy 'Tiny' Lister,7,1
Robin Williams,20,1
Charles Hyatt,12,1
Bruno Todeschini,23,1
Lawrence Dobkin,6,1
William Squire,13,1
Matt McGrath,23,1
Bob Minor,23,1
Bob Swan,28,1
Bobbie Phillips,16,1
Corkey Ford,39,1
"Joe ""Smokey"" Krawlicky",122,1
Ian Tyler,11,1
Vili Matula,11,1
Brogan Roche,13,1
Judit Pogány,24,1
Adam West,16,1
Alan Barry,14,1
Rosemary Jackson,13,1
Faizon Love,33,1
Dominique Dandrieux,13,1
George Martin,12,1
Nick de Mauro,11,1
Peter Wight,26,1
Cristal L. House,48,1
Stefania Sandrelli,6,1
Mecki Heussen,16,1
Lyle Lovett,20,1
Roscoe Lee Browne,5,1
Shaun Prendergast,15,1
Diana Zimmer,13,1
Peter MacNicol,3,1
Bruce Kirkpatrick,20,1
Debbie Turner,11,1
Kate Williamson,33,1
John C. Reilly,8,1
Theodore Raimi,5,1
Una Brandon-Jones,8,1
Don Turner,104,1
Stephen Beckett,8,1
Emory Parnell,49,1
Lawrence Bender,16,1
Kevin J. O'Connor,13,1
Fawn Reed,14,1
John C. McGinley,8,1
Kim Yoon-seok,1,1
Jim Turner,17,1
Rachel Stephens,18,1
Curt Bois,15,1
Vincent Baum & Van,9,1
Afemo Omilami,22,1
Aida Turturro,6,1
Cedric Ceballos,23,1
Bruce A. Young,21,1
Naomi Campbell,33,1
Joseph O'Conor,10,1
Paul Freeman,20,1
Brian Reddy,14,1
Corbin Bernsen,6,1
John Dehner,10,1
Teddy Bergman,8,1
Robert Giggenbach,5,1
Gilly Gilchrist,7,1
Francois Hadji-Lazaro,17,1
Damir Andrei,1,1
Andres Fuentes,31,1
Peter Benchley,31,1
Allan Pinsker,62,1
Kenneth Milldoff,5,1
Sean Marshall,6,1
Angela Alvarado,8,1
Annabelle Gurwitch,16,1
Frank Whaley,13,1
Tom O'Brien,20,1
Barbara Marshall,28,1
Katie Saunders,22,1
Fred Weller,45,1
John Beal,14,1
Rolf Lassgård,13,1
Robert Hanley,17,1
Jeremy Flynn,33,1
Andrew Hawkins,14,1
James MacKrell,39,1
Gabor Vaghelyi,22,1
Rush Williams,47,1
Tony Todd,1,1
Alain Delon,4,1
Richard McGonagle,20,1
Ann Doran,5,1
Jackie Burch,48,1
Malcolm Atterbury,18,1
