year,title,count
1996,Gabbeh,1
1992,School Ties,1
1945,"Roma, città aperta",1
1998,Bedrooms and Hallways,1
2002,Die Another Day,1
1970,A Man Called Horse,1
1959,No Name on the Bullet,1
1968,Bandolero!,1
2004,Saint Ralph,1
1999,Three Seasons,1
1991,King Ralph,1
2008,Patti Smith: Dream of Life,1
1977,Kingdom of the Spiders,1
2002,Astérix & Obélix: Mission Cléopâtre,1
2003,Terminator 3: Rise of the Machines,1
1958,The Black Orchid,1
2000,Snatch.,1
2002,Left Behind II: Tribulation Force,1
1976,Logan's Run,1
1997,On connaît la chanson,1
1991,Queens Logic,1
1995,Brothers in Trouble,1
1988,Lady in White,1
1985,Secret Admirer,1
1987,Housekeeping,1
1998,Went to Coney Island on a Mission from God... Be Back by Five,1
1993,Suture,1
2003,Dopamine,1
1982,The Atomic Cafe,1
1998,Falkens öga,1
1976,Squirm,1
1999,Hit and Runway,1
1943,The Battle of Russia,1
2003,Deus É Brasileiro,1
1976,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1
2002,The Transporter,1
1957,Attack of the Crab Monsters,1
2008,Deception,1
2002,Snow Dogs,1
2002,Honogurai mizu no soko kara,1
1982,Penitentiary II,1
2002,En la ciudad sin límites,1
1996,Brassed Off,1
1997,Too Much Sleep,1
1985,Prizzi's Honor,1
1957,The James Dean Story,1
1954,The Far Country,1
1968,The Shakiest Gun in the West,1
1999,Catfish in Black Bean Sauce,1
1967,Titicut Follies,1
2002,Tan de repente,1
1948,I Remember Mama,1
2001,Freddy Got Fingered,1
1970,Gimme Shelter,1
2000,Chicken Run,1
1969,Coming Apart,1
1998,Everest,1
1915,The Birth of a Nation,1
1992,The Player,1
1993,Caro diario,1
1997,Metro,1
2005,Kids in America,1
1985,Cocoon,1
1986,Club Paradise,1
2006,Yihe yuan,1
1999,Tuesdays with Morrie,1
1989,Slaves of New York,1
2001,Atlantis: The Lost Empire,1
1993,Thirty Two Short Films About Glenn Gould,1
1993,And the Band Played On,1
1943,Crash Dive,1
1997,Mrs Dalloway,1
1999,Joe the King,1
1998,Tango,1
1952,The Narrow Margin,1
1995,Clueless,1
1999,Rosetta,1
1992,Un coeur en hiver,1
1998,Beefcake,1
1995,Losing Isaiah,1
1998,Still Crazy,1
2007,Expired,1
1927,Sunrise: A Song of Two Humans,1
2004,Les choristes,1
1980,Raise the Titanic,1
1990,Taking Care of Business,1
2003,Zatôichi,1
1981,Cannibal ferox,1
1988,The New Adventures of Pippi Longstocking,1
1958,Indiscreet,1
1999,The 24 Hour Woman,1
1997,Bean,1
1984,Top Secret!,1
1983,Sleepaway Camp,1
2007,Boot Camp,1
2005,Jarhead,1
1990,Mindwalk,1
1995,Species,1
2007,Futurama: Bender's Big Score,1
2004,Machuca,1
1980,The Fiendish Plot of Dr. Fu Manchu,1
2003,Sylvia,1
1995,Kôkaku kidôtai,1
1993,Judgment Night,1
1924,Der letzte Mann,1
1963,Jason and the Argonauts,1
1996,Spy Hard,1
2004,Woman Thou Art Loosed,1
1983,Class,1
1996,Surviving Picasso,1
2005,A Sound of Thunder,1
1997,Lawn Dogs,1
1973,The Way We Were,1
1979,The China Syndrome,1
1993,For the Moment,1
1945,Leave Her to Heaven,1
1952,Limelight,1
1955,Ordet,1
1999,Liberty Heights,1
1996,Up Close & Personal,1
1963,Nattvardsgästerna,1
2006,Idiocracy,1
1998,The Negotiator,1
1953,The Blue Gardenia,1
2000,Bounce,1
1994,"Car 54, Where Are You?",1
1994,Guarding Tess,1
1995,First Knight,1
2000,Shanghai Noon,1
1987,Eddie Murphy Raw,1
1948,La terra trema: Episodio del mare,1
1944,Cover Girl,1
2002,Julius Caesar,1
1995,A Kid in King Arthur's Court,1
1994,Camp Nowhere,1
1997,Warriors of Virtue,1
2007,Atonement,1
1975,Dolemite,1
1974,Cockfighter,1
1989,The Unbelievable Truth,1
2002,Interview with the Assassin,1
1997,The Last Time I Committed Suicide,1
1971,Kotch,1
1961,Splendor in the Grass,1
1998,Le violon rouge,1
1981,Vabank,1
1988,For Keeps?,1
1985,Fraternity Vacation,1
1976,Mr. Klein,1
1998,Digging to China,1
1943,Destination Tokyo,1
1999,Dead or Alive: Hanzaisha,1
2001,Green Dragon,1
2007,88 Minutes,1
2004,The Terminal,1
1984,Police Academy,1
1995,Billy's Holiday,1
1988,The Man from Snowy River II,1
2004,9 Songs,1
1999,Les convoyeurs attendent,1
1995,Rob Roy,1
2006,Love and Other Disasters,1
1981,Eye of the Needle,1
2005,Linda Linda Linda,1
1959,Look Back in Anger,1
1985,A View to a Kill,1
1948,"Sorry, Wrong Number",1
1998,Mulan,1
2006,Seraphim Falls,1
1992,Brain Donors,1
1999,Two Ninas,1
2006,Volver,1
2003,King of the Ants,1
1926,The Black Pirate,1
1996,Sgt. Bilko,1
1989,Scenes from the Class Struggle in Beverly Hills,1
1997,Die Salzmänner von Tibet,1
1990,Faces of Death IV,1
2004,Mean Girls,1
1982,Fitzcarraldo,1
1999,Twin Falls Idaho,1
2002,Queen of the Damned,1
1981,Ricomincio da tre,1
1997,Kicked in the Head,1
1988,For Queen & Country,1
2004,Dirty Dancing: Havana Nights,1
1960,From the Terrace,1
1998,Small Soldiers,1
1988,Paperhouse,1
1993,Lan feng zheng,1
1990,Asfour Stah,1
1964,A Shot in the Dark,1
2001,Sidewalks of New York,1
1979,Meatballs,1
2005,New York Doll,1
2002,Maid in Manhattan,1
1930,Anna Christie,1
1996,Independence Day,1
1995,Gonin,1
2001,Extreme Days,1
2006,Over the Hedge,1
1998,Talk of Angels,1
2008,Bolt,1
1998,Caught Up,1
1995,Murder in the First,1
1979,Stalker,1
1972,Across 110th Street,1
1990,Tune in Tomorrow...,1
2003,Saraband,1
1990,The Handmaid's Tale,1
1942,Mrs. Miniver,1
1960,Tirez sur le pianiste,1
1985,Fandango,1
2007,Super Sweet 16: The Movie,1
1997,Office Killer,1
2001,L'emploi du temps,1
2004,What the #$*! Do We (K)now!?,1
2002,Bend It Like Beckham,1
1984,The Company of Wolves,1
2002,Till Human Voices Wake Us,1
1996,Some Mother's Son,1
1971,Morte a Venezia,1
2003,Alila,1
1996,The Island of Dr. Moreau,1
1992,Twin Peaks: Fire Walk with Me,1
2001,En sång för Martin,1
2001,Comment j'ai tué mon père,1
1996,She's the One,1
1981,Modern Romance,1
1994,Okno v Parizh,1
1993,Best of the Best 2,1
2003,Girls Will Be Girls,1
1994,Disclosure,1
2003,X2,1
2004,Z Channel: A Magnificent Obsession,1
2007,Blue State,1
1987,Hope and Glory,1
1980,Stir Crazy,1
2003,Off the Map,1
1985,Heaven Help Us,1
1999,Idle Hands,1
2001,Dr. Dolittle 2,1
1996,The Daytrippers,1
2008,Un conte de Noël,1
1999,Sex: The Annabel Chong Story,1
1990,Joe Versus the Volcano,1
1988,Crossing Delancey,1
1944,Meet Me in St. Louis,1
1982,Diner,1
1968,Mayerling,1
2006,Catch a Fire,1
1999,Gojira ni-sen mireniamu,1
1995,Nick of Time,1
2006,The Last Winter,1
1981,American Pop,1
2004,Friday Night Lights,1
2003,Torremolinos 73,1
1980,The Octagon,1
2005,The Chumscrubber,1
1980,Inside Moves,1
1966,La guerre est finie,1
2000,Trolösa,1
2002,The Magdalene Sisters,1
2000,The Patriot,1
1992,Simple Men,1
1998,42: Forty Two Up,1
2006,The Pervert's Guide to Cinema,1
1993,Rookie of the Year,1
2001,Last Orders,1
1991,The Indian Runner,1
1950,In a Lonely Place,1
1992,One False Move,1
1998,Slam,1
1966,Persona,1
2008,Starship Troopers 3: Marauder,1
1960,Rocco e i suoi fratelli,1
1995,Cold Fever,1
1989,Wild Orchid,1
2005,The 40 Year Old Virgin,1
1956,The Eddy Duchin Story,1
1959,Our Man in Havana,1
2001,Sennen joyû,1
1990,Tales from the Darkside: The Movie,1
1970,The Vampire Lovers,1
1941,Ball of Fire,1
1969,Cactus Flower,1
1997,La vita è bella,1
2005,Happy Endings,1
1998,Wrongfully Accused,1
1980,Blood Beach,1
2001,The Safety of Objects,1
1995,Sex & the Other Man,1
1988,Who Framed Roger Rabbit,1
2008,Get Smart's Bruce and Lloyd Out of Control,1
1986,Belizaire the Cajun,1
1994,Trapped in Paradise,1
2003,Anything Else,1
2000,"""Young Americans""",1
2007,Cidade dos Homens,1
1933,Tarzan the Fearless,1
1979,The Apple Dumpling Gang Rides Again,1
2001,Knockaround Guys,1
1997,Under the Skin,1
2000,Best in Show,1
1972,The Ruling Class,1
2003,Mayor of the Sunset Strip,1
1991,Cool as Ice,1
2005,Joyeux Noël,1
1997,The End of Violence,1
1943,The Ox-Bow Incident,1
1999,The Virgin Suicides,1
1982,Gandhi,1
1993,Searching for Bobby Fischer,1
1992,Reservoir Dogs,1
1990,Funny About Love,1
1996,Terra Estrangeira,1
1991,Mississippi Masala,1
2004,Collateral,1
1989,Food of the Gods II,1
2005,Elizabethtown,1
2005,The Jacket,1
2001,Startup.com,1
2001,The Forsaken,1
2006,Driving Lessons,1
1996,D3: The Mighty Ducks,1
1993,Batman: Mask of the Phantasm,1
1989,Majo no takkyûbin,1
1994,La séparation,1
1968,Coogan's Bluff,1
1963,Kaitei gunkan,1
2005,Brick,1
1964,Sei donne per l'assassino,1
1996,First Kid,1
1983,Local Hero,1
1938,Bringing Up Baby,1
2000,Maybe Baby,1
1993,The House of the Spirits,1
1980,Xanadu,1
2002,25th Hour,1
1949,Love Happy,1
2001,"Scotland, Pa.",1
1939,Made for Each Other,1
1994,Ed Wood,1
1997,Perdita Durango,1
1997,The Beautician and the Beast,1
1970,Rio Lobo,1
1982,Burden of Dreams,1
2002,About Schmidt,1
2004,Un long dimanche de fiançailles,1
2004,The Libertine,1
1988,Friday the 13th Part VII: The New Blood,1
1999,"Happy, Texas",1
1944,The Mask of Dimitrios,1
2008,Tôkyô zankoku keisatsu,1
1983,Private School,1
2007,He Was a Quiet Man,1
1940,The Philadelphia Story,1
1981,For Your Eyes Only,1
1953,Pickup on South Street,1
2002,Undisputed,1
1995,L'uomo delle stelle,1
2006,Android Apocalypse,1
1997,"O Que É Isso, Companheiro?",1
1998,The Wedding Singer,1
1998,The Book of Life,1
2004,Secret Window,1
1987,Amazon Women on the Moon,1
2007,What Would Jesus Buy?,1
1995,Candyman: Farewell to the Flesh,1
2006,"Bon Cop, Bad Cop",1
1971,Little Murders,1
1990,"Yo, la peor de todas",1
1999,A Walk on the Moon,1
1991,Backdraft,1
1981,True Confessions,1
1988,The Boost,1
1957,Kuroi kawa,1
2004,Toolbox Murders,1
1989,Born on the Fourth of July,1
1933,Mystery of the Wax Museum,1
1992,Mr. Saturday Night,1
2007,In Search of a Midnight Kiss,1
1968,The Boston Strangler,1
2007,Harry Potter and the Order of the Phoenix,1
2001,Nabbeun namja,1
2005,Because of Winn-Dixie,1
1996,Kauas pilvet karkaavat,1
1997,Ma vie en rose,1
1999,The Rage: Carrie 2,1
2003,Dickie Roberts: Former Child Star,1
2006,The Good Shepherd,1
1983,Losin' It,1
1969,Topaz,1
1981,Les uns et les autres,1
1958,Dracula,1
1975,The Great Waldo Pepper,1
1958,Gigi,1
1980,American Gigolo,1
1947,Dark Passage,1
2007,The Jane Austen Book Club,1
1994,Before the Rain,1
2007,Persepolis,1
1991,Past Midnight,1
1993,Leprechaun,1
2008,Nick and Norah's Infinite Playlist,1
2006,loudQUIETloud: A Film About the Pixies,1
1948,He Walked by Night,1
1958,Touch of Evil,1
1964,Kaidan,1
1993,The Dark Half,1
1981,Goodbye Pork Pie,1
