"actor","co_actors"
"Samuel L. Jackson",1824
"Robert De Niro",1702
"Bruce Willis",1632
"Mike Starr",1565
"Robin Williams",1563
"Gene Hackman",1555
"Dan Aykroyd",1517
"Robert Duvall",1509
"John Cusack",1467
"Laurence Fishburne",1462
"Tom Hanks",1435
"Steve Buscemi",1393
"Christopher Walken",1382
"Michael Caine",1367
"Donald Sutherland",1347
"Keith David",1344
"Richard Jenkins",1306
"Sean Connery",1302
"Randy Quaid",1297
"Frank Welker",1293
"Ed Harris",1290
"M. Emmet Walsh",1287
"Whoopi Goldberg",1279
"Bill Murray",1279
"Steve Martin",1273
"Kevin Costner",1267
"Dylan Baker",1263
"Clint Eastwood",1243
"Tom Cruise",1238
"James Earl Jones",1236
"Harvey Keitel",1226
"Stephen Tobolowsky",1223
"Stanley Tucci",1222
"John Turturro",1211
"Harry Dean Stanton",1210
"Willem Dafoe",1200
"Danny DeVito",1196
"John Wayne",1195
"Ned Beatty",1183
"Jeremy Piven",1177
"Dustin Hoffman",1172
"Dennis Hopper",1168
"Anjelica Huston",1164
"Tommy Lee Jones",1162
"Clint Howard",1158
"Anthony Hopkins",1156
"James Rebhorn",1155
"John Goodman",1151
"Kurt Russell",1147
"Bob Hoskins",1142
"James Woods",1141
"Woody Harrelson",1124
"Nicolas Cage",1123
"John Candy",1122
"Tim Robbins",1120
"Mike Fenton",1117
"Denzel Washington",1115
"Liam Neeson",1114
"Giancarlo Esposito",1112
"Frankie Faison",1110
"Susan Sarandon",1104
"Kevin Bacon",1101
"Michael McKean",1100
"John Hurt",1096
"Harrison Ford",1096
"Robert Downey Jr.",1095
"Paul Herman",1095
"Wallace Shawn",1091
"Marshall Bell",1090
"Keanu Reeves",1090
"Rip Torn",1087
"Al Pacino",1087
"Dennis Quaid",1086
"Janet Hirshenson",1085
"Rance Howard",1084
"Tracey Walter",1084
"Debi Mazar",1081
"Robert Loggia",1078
"Peter Boyle",1067
"Jack Nicholson",1067
"Bess Flowers",1056
"Kathy Bates",1056
"Christopher Lloyd",1055
"Jack Warden",1052
"Paul Newman",1050
"John Rothman",1049
"James Stewart",1048
"Jane Jenkins",1047
"Seymour Cassel",1042
"Eddie Murphy",1036
"William H. Macy",1035
"Ralph Dunn",1035
"Jeff Daniels",1034
"Fred Ward",1033
"Ed Lauter",1031
"Morgan Freeman",1026
"Michelle Pfeiffer",1020
"James Flavin",1015
"Ian Wolfe",1006
"Danny Aiello",1005
"Julia Roberts",1003
"Nick Nolte",1001
"Irving Bacon",1001
"Clyde Kusatsu",1001
"Willie Garson",997
"Vincent D'Onofrio",996
"Lee Phelps",996
"Philip Bosco",994
"Richard Schiff",992
"Meryl Streep",992
"Xander Berkeley",992
"Dick Miller",992
"Burt Reynolds",987
"Henry Fonda",986
"Joan Cusack",986
"Scott Glenn",986
"Kathleen Freeman",982
"Cary Grant",981
"Art La Fleur",980
"Ward Bond",980
"John Malkovich",979
"Al Bridge",973
"David Paymer",971
"Hank Worden",971
"Paul Guilfoyle",971
"Nicole Kidman",970
"Bill Cobbs",969
"Danny Glover",969
"Joe Pantoliano",968
"John Heard",967
"Chris Rock",962
"Ann Doran",960
"Brendan Gleeson",960
"Woody Allen",960
"Adam Le Fevre",959
"Jeff Goldblum",957
"Kevin Dunn",953
"Teri Garr",953
"David Strathairn",953
"Tom Sizemore",952
"John C. McGinley",948
"James Coburn",946
"Frank Wilcox",944
"Paul Tuerpé",944
"Matt Dillon",941
"Ed Begley Jr",939
"Jim Broadbent",938
"Christian Slater",936
"Joe Grifasi",934
"Pierre Watkin",930
"Forest Whitaker",930
"Alec Baldwin",928
"Mary Steenburgen",925
"Max von Sydow",923
"Carol Kane",920
"Christopher Plummer",918
"Sylvester Stallone",918
"William Fichtner",915
"Reg E. Cathey",914
"Robert Redford",913
"Charles Durning",913
"Harry J. Lennix",913
"Frank Ferrara",913
"James Gammon",911
"Bob Balaban",907
