"title","rating","similarity_perc"
"Lara Croft Tomb Raider: The Cradle of Life",3.1,61.09629553335684
"Mission: Impossible III",3.3,56.08148090927689
"Thelma & Louise",3.3,55.674073501869486
"Ocean's Twelve",3.4,55.48148148148148
"The Bourne Supremacy",3.9,54.48148148148149
"The Chronicles of Riddick",3.3,54.08148090927689
"Mission: Impossible III",3.3,54.08148090927689
"Armageddon",3.5,52.97037075184009
"The Lost World: Jurassic Park",3.2,52.38518499445032
"Snatch.",4,52.34074112221047
